Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
36:25,2;2066,539;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;0;-75,59999847
36:25,7;2058,912;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;0;-75,59999847
36:26,2;2049,769;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,59999847
36:26,7;2054,616;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,59999847
36:27,2;2067,216;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,59999847
36:27,7;2111,495;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,59999847
36:28,2;2075,594;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,59999847
36:28,7;2093,977;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,59999847
36:29,2;2046,038;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,59999847
36:29,7;2006,874;-75,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,59999847
36:30,2;1976,88;-75,5;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,5
36:30,7;1982,256;-75,19999695;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-75,19999695
36:31,2;2073,84;-74,90000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-74,90000153
36:31,7;2046,855;-74,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-74,59999847
36:32,2;2084,096;-74,40000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-74,40000153
36:32,7;2110,848;-74,09999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-74,09999847
36:33,2;2133,216;-74;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-74
36:33,7;2138,02;-74,19999695;2071387;231;62;Serving beam;n257;26500;231_62;231062;101;-74,19999695
36:34,2;2131,368;-74,90000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;102;-74,90000153
36:34,7;2133,293;-75,80000305;2071387;231;62;Serving beam;n257;26500;231_62;231062;102;-75,80000305
36:35,2;2136,721;-75,90000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;105;-75,90000153
36:35,7;2132,736;-76;2071387;231;62;Serving beam;n257;26500;231_62;231062;105;-76
36:36,2;2128,671;-75,90000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;107;-75,90000153
36:36,7;2137,752;-75,19999695;2071387;231;62;Serving beam;n257;26500;231_62;231062;107;-75,19999695
36:37,2;2133,241;-74,80000305;2071387;231;62;Serving beam;n257;26500;231_62;231062;110;-74,80000305
36:37,7;2133,744;-74,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;110;-74,59999847
36:38,2;2132,954;-75,30000305;2071387;231;62;Serving beam;n257;26500;231_62;231062;111;-75,30000305
36:38,7;2136,648;-76,5;2071387;231;62;Serving beam;n257;26500;231_62;231062;111;-76,5
36:39,2;2134,032;-77,30000305;2071387;231;62;Serving beam;n257;26500;231_62;231062;112;-77,30000305
