Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
39:37,8;2085,672;-76,80000305;2258011;621;22;Serving beam;n260;37000;621_22;621022;0;-76,80000305
39:38,3;2080,656;-76,80000305;2258011;621;22;Serving beam;n260;37000;621_22;621022;0;-76,80000305
39:38,8;2088,384;-76,80000305;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-76,80000305
39:39,3;2082,528;-76,69999695;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-76,69999695
39:39,8;2085,672;-76,69999695;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-76,69999695
39:40,3;2080,657;-76,90000153;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-76,90000153
39:40,8;2088,362;-77,09999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,09999847
39:41,3;2082,552;-77,09999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,09999847
39:41,8;2085,672;-77,09999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,09999847
39:42,3;2080,656;-77,09999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,09999847
39:42,8;2088,168;-77,09999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,09999847
39:43,3;2053,632;-77,30000305;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,30000305
39:43,8;1890,552;-77,09999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,09999847
39:44,3;1940,616;-76,09999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-76,09999847
39:44,8;1899,246;-77,59999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,59999847
39:45,3;1655,472;-77,80000305;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-77,80000305
39:45,8;1653,744;-78;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-78
39:46,3;1986,096;-78,80000305;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-78,80000305
39:46,8;2088,384;-79,80000305;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-79,80000305
39:47,3;2082,528;-80,30000305;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-80,30000305
39:47,8;2085,672;-80,90000153;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-80,90000153
39:48,3;2080,92;-82,09999847;2258011;621;22;Serving beam;n260;37000;621_22;621022;72;-82,09999847
39:48,8;2086,104;-83,69999695;2258011;621;31;Serving beam;n260;37000;621_31;621031;73;-83,69999695
39:49,3;2081,976;-82,40000153;2258011;621;31;Serving beam;n260;37000;621_31;621031;73;-82,40000153
39:49,8;2008,682;-81,69999695;2258011;621;31;Serving beam;n260;37000;621_31;621031;73;-81,69999695
39:50,3;2040,24;-82,90000153;2258011;621;31;Serving beam;n260;37000;621_31;621031;73;-82,90000153
39:50,8;1717,71;-83,19999695;2258011;621;31;Serving beam;n260;37000;621_31;621031;73;-83,19999695
39:51,3;1870,224;-81,40000153;2258011;621;31;Serving beam;n260;37000;621_31;621031;73;-81,40000153
39:51,8;2076,578;-82,19999695;2258011;621;30;Serving beam;n260;37000;621_30;621030;73;-82,19999695
39:52,3;2072,616;-81,59999847;2258011;621;30;Serving beam;n260;37000;621_30;621030;73;-81,59999847
39:52,8;1924,152;-79,80000305;2258011;621;30;Detected beam;n260;37000;621_30;621030;73;-79,80000305
39:53,3;2023,416;-79,19999695;2258011;621;30;Serving beam;n260;37000;621_30;621030;73;-79,19999695
