Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
57:43,3;2134,56;-79,09999847;2071387;231;31;Serving beam;n257;26500;231_31;231031;0;-79,09999847
57:43,8;2131,68;-79,19999695;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,19999695
57:44,3;2135,4;-79,19999695;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,19999695
57:44,8;2129,52;-79,19999695;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,19999695
57:45,3;2134,584;-79,19999695;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,19999695
57:45,8;2130,864;-79,30000305;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,30000305
57:46,3;2136,192;-79,30000305;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,30000305
57:46,8;2129,52;-79,30000305;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,30000305
57:47,3;2134,588;-79,30000305;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,30000305
57:47,8;2130,871;-79,19999695;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,19999695
57:48,3;2136,987;-79,19999695;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,19999695
57:48,8;2128,728;-79,19999695;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,19999695
57:49,3;2132,976;-79,40000153;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,40000153
57:49,8;2132,472;-79,5;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,5
57:50,3;2097,24;-79,59999847;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,59999847
57:50,8;2068,344;-79,59999847;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,59999847
57:51,3;2108,522;-79,59999847;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,59999847
57:51,8;2114,419;-79,69999695;2071387;231;31;Serving beam;n257;26500;231_31;231031;84;-79,69999695
