Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
08:31,7;2134,032;;;;;;;;;;;
08:32,2;2134,92;-79,30000305;2071387;231;61;Serving beam;n257;26500;231_61;231061;0;-79,30000305
08:32,7;2130,049;-78,30000305;2071387;231;61;Serving beam;n257;26500;231_61;231061;67;-78,30000305
08:33,2;1741,128;-78,30000305;2071387;231;61;Serving beam;n257;26500;231_61;231061;67;-78,30000305
08:33,7;2077,704;-79,59999847;2071387;231;61;Serving beam;n257;26500;231_61;231061;67;-79,59999847
08:34,2;2136,145;-78,40000153;2071387;231;61;Serving beam;n257;26500;231_61;231061;67;-78,40000153
08:34,7;2131,344;-76,5;2071387;231;61;Serving beam;n257;26500;231_61;231061;67;-76,5
08:35,2;2136,153;-75,69999695;2071387;231;61;Detected beam;n257;26500;231_61;231061;67;-75,69999695
08:35,7;2134,034;-74,90000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-74,90000153
08:36,2;2135,352;-74,59999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-74,59999847
08:36,7;2131,344;-74,69999695;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-74,69999695
08:37,2;2136,96;-73,40000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-73,40000153
08:37,7;2132,712;-72,90000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-72,90000153
08:38,2;2136,672;-74,40000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-74,40000153
08:38,7;2131,344;-74,69999695;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-74,69999695
08:39,2;2136,432;-73,90000153;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-73,90000153
08:39,7;2135,376;-73,5;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-73,5
08:40,2;2134,542;-74,19999695;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-74,19999695
08:40,7;2131,344;-74,09999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;67;-74,09999847
08:41,2;2136,96;-75;2071387;231;62;Serving beam;n257;26500;231_62;231062;68;-75
08:41,7;2134,038;-75,80000305;2071387;231;62;Serving beam;n257;26500;231_62;231062;68;-75,80000305
08:42,2;2135,353;-75,09999847;2071387;231;62;Serving beam;n257;26500;231_62;231062;68;-75,09999847
08:42,7;2038,968;-74,80000305;2071387;231;62;Serving beam;n257;26500;231_62;231062;68;-74,80000305
08:43,2;2137,37;-75,5;2071387;231;61;Serving beam;n257;26500;231_61;231061;68;-75,5
08:43,7;2077,704;-74,30000305;2071387;231;61;Serving beam;n257;26500;231_61;231061;69;-74,30000305
08:44,2;2103,912;-75,90000153;2071387;231;61;Serving beam;n257;26500;231_61;231061;69;-75,90000153
08:44,7;2040,001;-76,30000305;2071387;231;61;Serving beam;n257;26500;231_61;231061;69;-76,30000305
08:45,2;2008,416;-77,69999695;2071387;231;61;Serving beam;n257;26500;231_61;231061;69;-77,69999695
08:45,7;1757,592;-78,19999695;2071387;231;61;Serving beam;n257;26500;231_61;231061;69;-78,19999695
08:46,2;1974,24;-78,5;2071387;231;61;Detected beam;n257;26500;231_61;231061;69;-78,5
08:46,7;2063,304;-77,90000153;2071387;231;60;Serving beam;n257;26500;231_60;231060;69;-77,90000153
08:47,2;2136,144;-76,19999695;2071387;231;60;Serving beam;n257;26500;231_60;231060;69;-76,19999695
08:47,7;2107,752;-74,80000305;2071387;231;60;Serving beam;n257;26500;231_60;231060;70;-74,80000305
08:48,2;2134,152;-72,90000153;2071387;231;60;Serving beam;n257;26500;231_60;231060;70;-72,90000153
08:48,7;2073,168;-72,19999695;2071387;231;60;Serving beam;n257;26500;231_60;231060;70;-72,19999695
